cno,경매 제목,경매 내용,경매 등록 날짜,경매 종료 날자,등록 가격
6956,2018년형 기아 셀토스 최신 모델 경매,도심에서도 빛을 발하는 스타일과 편의를 경험하세요.,2023-09-21,2023-10-16,14150000
6964,2017년식 현대 투싼 경매,다재다능한 SUV의 편의와 성능을 경험하세요.,2023-10-11,2023-10-24,14250000
6968,2016년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-09-25,2023-10-24,9900000
6969,2018년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-09-22,2023-10-03,15500000
6973,2019년형 기아 K7 경매,승용차의 고급 편의와 성능을 경,2023-10-02,2023-10-30,17000000
6974,2019년식 현대 쏘나타 중고차 경매,중고차 현대 쏘나타를 경매로 판매합니다. 스타일과 편의 기능을 저렴한 가격에 만나보세요.,2023-09-17,2023-10-16,14850000
6976,2018년식 현대 아이오닉 중고차 경매,친환경 하이브리드 차량의 미래를 경험하세요.,2023-09-20,2023-10-20,16600000
6978,2020년형 기아 스팅어 경매,기아 스팅어를 경매로 판매합니다. 스포츠 세단의 역동적인 운전을 즐기세요.,2023-10-04,2023-10-18,16000000
6980,2016년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-10-10,2023-10-25,10050000
6981,2018년형 중고 쉐보레 카마로 경매,스포츠 카의 역동적인 성능을 누리세요.,2023-09-19,2023-10-19,21250000
6982,2016년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-10-07,2023-10-25,9400000
6985,2019년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-10-12,2023-11-09,15800000
6986,2018년형 현대 그랜저 경매,프리미엄 세단의 품격을 경험하세요.,2023-10-28,2023-11-24,13450000
6987,2016년식 기아 올 뉴 K3 중고차 경매,경제성과 편의성을 결합한 승용차입니다.,2023-10-09,2023-11-06,14550000
6988,2018년식 현대 아이오닉 중고차 경매,친환경 하이브리드 차량의 미래를 경험하세요.,2023-10-21,2023-11-13,16650000
6989,2019년식 현대 아반떼 경매,저렴한 가격에 고품질의 시승 경험을 즐기세요.,2023-10-27,2023-11-24,15450000
6990,2018년형 중고 쉐보레 스파크 경매,중고 쉐보레 스파크를 경매로 만나보세요. 경제적이고 환경 친화적인 차량입니다.,2023-09-22,2023-10-20,10500000
6994,2019년형 기아 쏘렌토 경매 중,고급 내장재와 뛰어난 주행 성능을 경험하세요.,2023-10-04,2023-10-28,16150000
6995,2018년식 현대 아이오닉 중고차 경매,친환경 하이브리드 차량의 미래를 경험하세요.,2023-09-17,2023-10-09,16700000
6996,2018년형 중고 쉐보레 스파크 경매,중고 쉐보레 스파크를 경매로 만나보세요. 경제적이고 환경 친화적인 차량입니다.,2023-10-23,2023-11-03,10700000
6998,2019년식 현대 아반떼 경매,저렴한 가격에 고품질의 시승 경험을 즐기세요.,2023-09-22,2023-10-16,15000000
7003,2017년형 현대 그랜저 경매,프리미엄 세단의 품격을 경험하세요.,2023-09-27,2023-10-24,12550000
7006,2017년형 중고 쉐보레 카마로 경매,스포츠 카의 역동적인 성능을 누리세요.,2023-09-25,2023-10-21,21650000
7007,2019년형 기아 스팅어 경매,기아 스팅어를 경매로 판매합니다. 스포츠 세단의 역동적인 운전을 즐기세요.,2023-10-04,2023-10-29,15400000
7008,2018년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-10-30,2023-11-27,13000000
7009,2017년형 기아 셀토스 최신 모델 경매,도심에서도 빛을 발하는 스타일과 편의를 경험하세요.,2023-10-30,2023-11-12,12550000
7010,2019년형 기아 스팅어 경매,기아 스팅어를 경매로 판매합니다. 스포츠 세단의 역동적인 운전을 즐기세요.,2023-10-01,2023-10-18,15900000
7011,2018년형 기아 셀토스 최신 모델 경매,도심에서도 빛을 발하는 스타일과 편의를 경험하세요.,2023-10-29,2023-11-15,13900000
7012,2019년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-10-20,2023-11-12,12850000
7015,2017년형 기아 셀토스 최신 모델 경매,도심에서도 빛을 발하는 스타일과 편의를 경험하세요.,2023-10-04,2023-10-18,12150000
7017,2017년형 르노삼성 QM6 중고차 경매,스타일과 기술의 조화를 느껴보세요.,2023-10-30,2023-11-25,14800000
7018,2016년형 중고 쉐보레 스파크 경매,중고 쉐보레 스파크를 경매로 만나보세요. 경제적이고 환경 친화적인 차량입니다.,2023-10-29,2023-11-12,9250000
7019,2019년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-10-05,2023-10-21,15300000
7021,2017년형 르노삼성 SM6 경매,스타일과 기술의 조화를 느껴보세요.,2023-09-19,2023-10-10,13300000
7023,2019년형 중고 쉐보레 말리부 경매,중고 쉐보레 말리부를 경매로 만나보세요. 스타일과 성능을 저렴한 가격에 누리세요.,2023-09-18,2023-10-14,13500000
7024,2020년형 기아 스팅어 경매,기아 스팅어를 경매로 판매합니다. 스포츠 세단의 역동적인 운전을 즐기세요.,2023-09-27,2023-10-09,16050000
7025,2019년형 중고 쉐보레 카마로 경매,스포츠 카의 역동적인 성능을 누리세요.,2023-09-22,2023-10-21,23600000
7027,2016년형 르노삼성 QM6 중고차 경매,스타일과 기술의 조화를 느껴보세요.,2023-10-15,2023-10-28,13350000
7028,2018년식 현대 쏘나타 중고차 경매,중고차 현대 쏘나타를 경매로 판매합니다. 스타일과 편의 기능을 저렴한 가격에 만나보세요.,2023-09-29,2023-10-20,13850000
7030,2017년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-10-23,2023-11-14,13550000
7033,2019년형 기아 K7 경매,승용차의 고급 편의와 성능을 경,2023-10-22,2023-11-03,16650000
7040,2017년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-09-19,2023-10-11,11600000
7044,2018년형 중고 쉐보레 스파크 경매,중고 쉐보레 스파크를 경매로 만나보세요. 경제적이고 환경 친화적인 차량입니다.,2023-10-30,2023-11-26,10000000
7045,2017년형 르노삼성 SM6 경매,스타일과 기술의 조화를 느껴보세요.,2023-10-01,2023-10-17,13100000
7046,2017년형 기아 셀토스 최신 모델 경매,도심에서도 빛을 발하는 스타일과 편의를 경험하세요.,2023-10-08,2023-10-31,12400000
7047,2017년형 기아 셀토스 최신 모델 경매,도심에서도 빛을 발하는 스타일과 편의를 경험하세요.,2023-09-26,2023-10-16,12800000
7048,2017년식 기아 올 뉴 K3 중고차 경매,경제성과 편의성을 결합한 승용차입니다.,2023-09-26,2023-10-23,15750000
7049,2017년식 현대 아이오닉 중고차 경매,친환경 하이브리드 차량의 미래를 경험하세요.,2023-10-08,2023-10-18,14800000
7050,2019년형 기아 K5 경매,스포츠 세단의 역동적인 운전을 즐기세요.,2023-10-05,2023-10-28,13150000
7056,2019년형 기아 K7 경매,승용차의 고급 편의와 성능을 경,2023-10-14,2023-10-30,17050000
7060,2015년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-09-16,2023-10-09,9500000
7061,2019년식 현대 아반떼 경매,저렴한 가격에 고품질의 시승 경험을 즐기세요.,2023-10-09,2023-10-19,15050000
7063,2019년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-10-04,2023-10-22,16050000
7065,2016년형 중고 쉐보레 스파크 경매,중고 쉐보레 스파크를 경매로 만나보세요. 경제적이고 환경 친화적인 차량입니다.,2023-10-28,2023-11-15,9400000
7066,2019년형 르노삼성 XM3 신차 경매,신차 르노삼성 XM3를 경매로 판매합니다. 혁신적인 디자인과 고급 편의 기능을 탑재한 차량입니다.,2023-09-23,2023-10-20,13350000
7068,2015년형 르노삼성 SM6 경매,스타일과 기술의 조화를 느껴보세요.,2023-10-09,2023-10-23,11550000
7069,2016년식 기아 올 뉴 K3 중고차 경매,경제성과 편의성을 결합한 승용차입니다.,2023-09-18,2023-10-09,14450000
7070,2018년형 중고 쉐보레 카마로 경매,스포츠 카의 역동적인 성능을 누리세요.,2023-09-25,2023-10-19,21300000
7075,2015년형 쌍용 렉스턴 스포츠 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-10-21,2023-11-20,14000000
7076,2017년형 르노삼성 QM6 중고차 경매,스타일과 기술의 조화를 느껴보세요.,2023-09-22,2023-10-03,14600000
7078,2020년식 기아 스포티지 중고차 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-10-12,2023-11-04,10450000
7079,2018년식 기아 스포티지 중고차 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-10-13,2023-11-01,9250000
7080,2020년식 기아 스포티지 중고차 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-09-26,2023-10-10,10350000
7083,2018년형 중고 쉐보레 스파크 경매,중고 쉐보레 스파크를 경매로 만나보세요. 경제적이고 환경 친화적인 차량입니다.,2023-09-22,2023-10-13,10600000
7085,2018년형 기아 K5 경매,스포츠 세단의 역동적인 운전을 즐기세요.,2023-09-27,2023-10-22,12900000
7088,2015년형 르노삼성 SM6 경매,스타일과 기술의 조화를 느껴보세요.,2023-09-19,2023-10-09,11900000
7091,2016년형 르노삼성 QM6 중고차 경매,스타일과 기술의 조화를 느껴보세요.,2023-09-20,2023-10-06,13400000
7095,2017년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-10-19,2023-11-15,14800000
7097,2017년식 현대 그랜드 스타렉스 경매,대가족을 위한 편리한 여행을 즐기세요.,2023-10-04,2023-10-22,13550000
7099,2018년형 쌍용 티볼리 판매,도시 주행에 최적화된 스타일리시한 차량입니다.,2023-09-19,2023-10-06,10100000
7100,2020년식 기아 스포티지 중고차 경매,스포츠 유틸리티 차량의 성능을 경험하세요.,2023-09-19,2023-10-10,9900000
7104,2018년형 쌍용 티볼리 판매,도시 주행에 최적화된 스타일리시한 차량입니다.,2023-10-15,2023-11-02,10550000
7105,2016년형 중고 기아 카렌스 경매,승용차의 스타일과 편의 기능을 경험하세요.,2023-10-01,2023-10-22,9550000
